id;code;name;identifier
1;vortals Coche Extramuros;virtual Riyal;Acero optimize
2;definición Respuesta Sabr;Account Ladrillo;Plástico ejecutiva
3;servidor;Hormigon;back RAM fritas
4;deposit generación Bulgar;Credit Mejorado Estratega;crítica indexing
5;Granito;cross-platform Artesanal;Cambridgeshire Arabi
6;invoice;Morado robust infomediaries;y de
7;Vía Moda;backing Iceland;Sorprendente Valenci
8;Pakistan markets Factores;program wireless;Cambridgeshire hack 
9;Director Versatil;Ghana;Acero Rústico
10;Cara;parsing;mindshare
