id;description;name;is_priority;location;exchange_rate
1;Madera Hormigon;Central Ejecutivo capacitor;false;Negro transmit innovate;30050
2;interfaces Avon;programming;true;parse utilize Directo;75518
3;bus;Decoración a;false;a UIC-Franc Bedfordshire;65518
4;Funcionario Vasco Mercado;primary;true;system Factores;99161
5;Bosnia;interfaces Cataluña Central;false;mesh Violeta Salchichas;42722
6;Optimización metrics;deposit;false;Amarillo monitorizada de;99331
7;Cuesta;Rioja digital;false;Plástico;8458
8;paralelismo;redundant invoice;true;Increible;70936
9;Increible Adaptativo;Gris Galicia;false;Acero Dinánmico withdrawal;88983
10;B2B connect Borders;program;false;Infraestructura discreta;133
