id;created_at;theoretical_percentage;money_denomination;device_establishment_id;event_type_id
4c2b833e-7c98-4ce2-9872-aa3ebaaa14ea;2021-09-27T08:41:45;false;46542;9be81245-d89a-43c0-9538-fceb632175a9;1
cb48cff1-b8d9-44fc-9a2f-f7c2023d5c94;2021-09-27T13:51:24;false;36339;56ecd71c-7cbd-47ac-acf4-9bde287dc939;2
574c3c14-257b-42a3-926d-3808963263f2;2021-09-27T13:48:36;false;72776;8d3b9007-9ddd-40c9-981a-7f5251eceab6;3
6fcbea37-5496-4350-b588-9a30980e2d36;2021-09-27T01:21:02;true;65763;95ef834b-7b32-4171-964d-518d210ea4cb;4
bf8319ea-d7d4-4327-b8a1-14f9e4ffb2dc;2021-09-27T11:47:54;false;35619;0b0328a5-c197-44f9-8a0b-ffbe2de7d7d9;5
940b984d-a5d4-45f6-b900-1ae0ce78aa9d;2021-09-27T09:44:03;true;57304;08433d22-743b-485c-ab0c-65e3ca2b2586;6
aeba9419-a20c-456c-8848-8d5bda2e2acd;2021-09-27T02:26:21;true;53714;8d69da6c-5b02-4ae3-b41f-d6429cab8cc9;7
5e9d4cb9-9f1e-423b-973c-5fa0687ae89b;2021-09-27T19:27:16;false;37441;c266db84-4e92-40c2-bde0-6fff1b97df15;8
3edd7100-b255-4b58-9870-6087af793949;2021-09-27T14:21:29;true;93937;2ad8ef9d-85a9-4724-91e8-5b14b1b365f3;9
5beb9538-f095-4557-a32d-fc56872e1ba8;2021-09-27T18:25:51;true;66527;683891e9-1245-4ed5-a4a3-05f5cb866dae;10
